region,date,variable,value
Rogaland,2020-03-01,roomcapsofar,42
Rogaland,2020-03-01,bedcapsofar,26
Rogaland,2020-04-01,rentedrooms,29533
Rogaland,2020-04-01,roomprice,838
Rogaland,2020-04-01,roomcap,23
Rogaland,2020-04-01,bedcap,13
Rogaland,2020-04-01,revenue,24740
Rogaland,2020-04-01,revperroom,190
Rogaland,2020-04-01,revsofar,249159
Rogaland,2020-04-01,revroomsofar,345
Rogaland,2020-04-01,roompricesofar,892
Rogaland,2020-04-01,roomcapsofar,39
Rogaland,2020-04-01,bedcapsofar,24
Rogaland,2020-05-01,rentedrooms,43763
Rogaland,2020-05-01,roomprice,862
Rogaland,2020-05-01,roomcap,33
Rogaland,2020-05-01,bedcap,20
Rogaland,2020-05-01,revenue,37711
Rogaland,2020-05-01,revperroom,282
Rogaland,2020-05-01,revsofar,286869
Rogaland,2020-05-01,revroomsofar,335
Rogaland,2020-05-01,roompricesofar,888
Rogaland,2020-05-01,roomcapsofar,38
Rogaland,2020-05-01,bedcapsofar,23
Rogaland,2020-06-01,rentedrooms,77658
Rogaland,2020-06-01,roomprice,919
Rogaland,2020-06-01,roomcap,43
Rogaland,2020-06-01,bedcap,31
Rogaland,2020-06-01,revenue,71350
Rogaland,2020-06-01,revperroom,395
Rogaland,2020-06-01,revsofar,358220
Rogaland,2020-06-01,revroomsofar,346
Rogaland,2020-06-01,roompricesofar,894
Rogaland,2020-06-01,roomcapsofar,39
Rogaland,2020-06-01,bedcapsofar,25
Rogaland,2020-07-01,rentedrooms,124951
Rogaland,2020-07-01,roomprice,931
Rogaland,2020-07-01,roomcap,69
Rogaland,2020-07-01,bedcap,67
Rogaland,2020-07-01,revenue,116306
Rogaland,2020-07-01,revperroom,642
Rogaland,2020-07-01,revsofar,474526
Rogaland,2020-07-01,revroomsofar,390
Rogaland,2020-07-01,roompricesofar,903
Rogaland,2020-07-01,roomcapsofar,43
Rogaland,2020-07-01,bedcapsofar,31
Rogaland,2020-08-01,rentedrooms,94103
Rogaland,2020-08-01,roomprice,856
Rogaland,2020-08-01,roomcap,47
Rogaland,2020-08-01,bedcap,35
Rogaland,2020-08-01,revenue,80569
Rogaland,2020-08-01,revperroom,404
Rogaland,2020-08-01,revsofar,555095
Rogaland,2020-08-01,revroomsofar,392
Rogaland,2020-08-01,roompricesofar,896
Rogaland,2020-08-01,roomcapsofar,44
Rogaland,2020-08-01,bedcapsofar,32
Vestland,2020-01-01,rentedrooms,129027
Vestland,2020-01-01,roomprice,924
Vestland,2020-01-01,roomcap,38
Vestland,2020-01-01,bedcap,24
Vestland,2020-01-01,revenue,119209
Vestland,2020-01-01,revperroom,350
Vestland,2020-01-01,revsofar,119209
Vestland,2020-01-01,revroomsofar,350
